V2_Gene	baseMean	DESeq_log2FC	lfcSE	pvalue	adj_pvalue	IHW_pvalue	LBS6R1.1	LBS6R1.2	LBS6R1.3	LBS6R1.4	LBS4.4	LBS4.5	LBS4.6	LBS4.7	LBS6R1_Mean	LBS4_Mean	log2FC
H2scaf82-aug17955	1448.810419	3.279834702	0.093585012	4.4e-269	1.5e-265	4.16e-269	244.9479549	287.9155767	246.3591898	274.0655752	2839.284945	2616.480017	2626.504185	2454.92591	263.3220741	2634.298764	3.322518604
H2scaf48-aug11554	803.8422255	6.306830408	0.180095488	1.14e-268	3.34e-265	1.08e-268	9.072146478	23.827496	20.02920243	8.949080005	1655.034401	1549.27875	1596.863063	1567.683666	15.46948123	1592.21497	6.685466505
H2scaf81-aug17876	1584.732364	3.905993847	0.113252862	1.17e-260	3.46e-257	1.59e-260	172.3707831	229.339649	186.2715826	165.5579801	3097.591133	2854.830594	3214.870541	2757.026653	188.3849987	2981.07973	3.98407897
H2scaf149-aug22292	1438.611411	4.80632273	0.144515407	1.55e-242	3.54e-239	2.12e-242	71.56915555	120.1302923	94.1372514	70.47400504	3022.599014	2586.014154	2955.621616	2588.345797	89.07767608	2788.145145	4.968097936
H2scaf17-aug2338	881.7966606	3.725614528	0.116122922	7.52e-226	9.69e-223	6.71e-226	103.8256764	110.202169	137.2000366	120.8125801	1591.499412	1833.328121	1606.975609	1550.52968	118.0101155	1645.583206	3.801616541
H2scaf41-aug12200	2987.924822	3.13542379	0.100634476	4.13e-213	4.41e-210	3.46e-213	579.6093583	678.0908237	527.7694839	585.0461053	5913.961819	5387.081459	5399.180637	4832.658886	592.6289428	5383.220701	3.183268583
H2scaf37-aug8641	1395.854336	3.536714831	0.119688207	6.68e-192	6.34e-189	5.85e-192	183.4589621	230.3324613	223.3256071	205.8288401	2747.627911	2422.93218	2927.12262	2226.206105	210.7364677	2580.972204	3.614402707
H2scaf22-aug5873	891.7848238	2.449066674	0.08519422	9.91e-182	8.33e-179	8.84e-182	283.2525734	264.0880807	284.4146745	255.0487801	1439.43206	1528.669489	1554.574231	1524.798702	271.7010272	1511.86862	2.476240852
H2scaf52-aug13093	583.8451313	4.460520929	0.156412699	7.08e-179	6.09e-176	6.75e-179	35.28056964	59.56874	45.06570546	40.27086002	1230.079061	1131.717213	1176.732712	952.0461896	45.04646878	1122.643794	4.639342417
H2scaf48-aug11548	2257.828878	3.041599365	0.108290288	1.39e-173	8.47e-171	9.78e-174	401.1904776	561.9317807	479.6993981	448.5726353	4217.26513	3923.823971	4287.719818	3742.427814	472.8485729	4042.809183	3.095907964
H2scaf23-aug6304	929.9423301	3.403427303	0.123547887	4.75e-167	3.53e-164	4.23e-167	129.0260832	179.6990323	143.2087973	158.8461701	1935.21329	1650.532942	1718.213624	1524.798702	152.6950208	1707.189639	3.482898403
H2scaf35-aug19629	321.2201663	4.727795034	0.176949111	2.88e-157	2.04e-154	2.73e-157	19.15230923	29.78437	17.02482206	12.30498501	627.0174384	621.8620314	626.9778979	615.637476	19.56662158	622.8737109	4.9924731
H2scaf26-aug18164	448.7116133	4.237303943	0.15900524	1.85e-156	1.43e-153	1.98e-156	33.26453708	44.676555	46.06716558	36.91495502	1010.31049	761.6465803	844.8573141	811.9553089	40.23080317	857.1924234	4.413246653
H2scaf4-aug16095	520.0044741	4.224377805	0.159749324	4.3e-154	3.27e-151	4.68e-154	41.32866729	63.53998934	49.07154594	33.55905002	1121.757112	928.3127731	1033.318412	889.1482431	46.87481315	993.1341351	4.40510374
H2scaf48-aug11491	297.4820626	4.519050685	0.173692196	3.13e-149	2.02e-146	2.99e-149	20.16032551	19.85624667	22.03212267	23.49133501	608.2694087	550.1776474	601.2368699	534.6325449	21.38500746	573.5791177	4.745320885
H2scaf27-aug6567	370.6285591	4.501475416	0.177934735	3.32e-141	1.88e-138	3.12e-141	14.11222785	30.77718233	33.048184	29.08451002	811.373064	687.2740318	717.9908186	641.3684541	26.75552605	714.5015921	4.739028426
H2scaf13-aug16638	4279.57014	4.284084163	0.17167758	1.92e-137	6.54e-135	1.15e-137	266.1162967	533.140223	361.5271038	300.9128152	8675.129974	7340.480924	8928.45945	7830.794334	365.4241097	8193.716171	4.486874192
H2scaf46-aug11334	604.9347981	2.616962236	0.105798697	4.46e-135	2.17e-132	4.2e-135	144.1463274	167.7852843	183.2672022	165.5579801	986.3546747	1096.771076	1093.993693	1001.602147	165.1891985	1044.680398	2.660870383
H2scaf76-aug17359	423.9973982	4.338325008	0.183071851	3.84e-124	1.7e-121	3.61e-124	34.27255336	53.611866	25.03650303	22.37270001	863.4509243	815.4098683	867.8403748	709.9843957	33.8234056	814.1713908	4.589238694
H2scaf1-aug9729	267.2655079	6.264765689	0.266338261	2.44e-122	1.05e-119	2.32e-122	4.032065101	1.985624667	2.002920243	4.474540003	541.6097475	520.607839	524.0137857	539.3975409	3.123787503	531.4072282	7.410377724
H2scaf13-aug16639	1724.04897	4.036873637	0.171708385	3.22e-122	1.22e-119	2.82e-122	124.9940181	242.2462093	183.2672022	147.6598201	3828.764292	2704.293387	3414.363509	3146.803321	174.5418124	3273.556127	4.229214127
H2scaf52-aug13072	829.970707	2.436984519	0.105219892	1.13e-118	4.45e-116	1.07e-118	213.6994504	273.0233917	250.3650303	274.0655752	1477.969676	1485.658859	1367.951777	1297.031896	252.7883619	1407.153052	2.476777305
H2scaf13-aug16637	1785.560989	4.476605827	0.195714087	8.59e-116	4.54e-113	1.17e-115	76.60923692	195.5840297	120.1752146	115.2194051	4017.286146	3008.952019	3548.584584	3202.077274	126.8969716	3444.225006	4.762449851
H2scaf30-aug10785	2185.675669	2.757471733	0.120744588	1.96e-115	5.22e-113	1.37e-115	512.0722679	663.1986387	546.7972262	447.4540003	4070.405564	3729.380079	4090.065495	3426.032084	542.3805333	3828.970805	2.819579356
H2scaf37-aug8642	1222.111432	2.493159973	0.112309658	3.51e-109	1.13e-106	3.13e-109	293.3327361	402.088995	361.5271038	376.9799952	2309.132327	2060.029986	2086.861918	1886.938394	358.4822075	2085.740656	2.540586362
H2scaf34-aug7745	398.8140983	2.339086734	0.110436258	1.45e-99	5.09e-97	1.57e-99	116.9298879	130.0584157	129.1883557	137.5921051	680.1368559	620.9659766	663.7507952	711.890394	128.4421911	669.1860054	2.381288094
H2scaf26-aug18162	1522.320831	3.71742657	0.183810207	5.99e-91	1.75e-88	5.66e-91	132.0501321	266.0737053	217.3168463	137.5921051	2768.459055	2519.706098	3276.465144	2860.903565	188.2581972	2856.383466	3.923405083
H2scaf30-aug10775	788.8402509	2.942615268	0.145729156	1.14e-90	3.11e-88	1.02e-90	154.2264901	220.404338	162.2365397	146.5411851	1510.25795	1358.419077	1595.024418	1163.61201	170.8521382	1406.828364	3.041626119
H2scaf48-aug11555	3039.619159	2.66076463	0.132455264	9.39e-90	1.96e-87	6.59e-90	664.2827254	925.3010947	924.347692	665.5878254	5815.013885	5553.747652	5113.271361	4655.401037	794.8798344	5284.358484	2.732919657
H2scaf82-aug18001	244.2847834	3.860544275	0.192103575	7.97e-90	2.22e-87	7.58e-90	22.17635806	37.72686867	28.0408834	19.01679501	543.6928619	408.6009889	489.9988557	405.0246552	26.74022628	461.8293404	4.110276253
H2scaf44-aug26877	181.477844	6.088772475	0.306024764	4.38e-88	8.56e-86	2.96e-88	0	0.992812333	3.004380364	1.118635001	446.8280417	333.3323857	327.2787854	339.2677112	1.278956924	361.676731	8.143589298
H2scaf1-aug9502	2239.379732	2.574264563	0.130516406	1.35e-86	3.59e-84	1.28e-86	545.3368049	506.33429	721.0512874	702.5027804	4494.319347	3592.283694	3671.773789	3681.435866	618.8062907	3859.953174	2.641023578
H2scaf9-aug22712	265.8462721	3.501795911	0.180809436	1.46e-83	3.71e-81	1.39e-83	41.32866729	29.78437	30.04380364	52.57584503	445.7864844	433.6905234	507.4659819	586.0945011	38.43317149	493.2593727	3.681922528
H2scaf30-aug10777	353.8159554	2.800321703	0.145705092	2.56e-82	6.35e-80	2.43e-82	66.52907417	90.34592234	97.14163177	81.66035505	617.6434235	624.5501958	717.0714962	535.5855441	83.91924583	623.7126649	2.893807936
H2scaf86-aug19091	697.5236719	2.370448852	0.126139581	8.74e-79	1.96e-76	7.79e-79	172.3707831	268.05933	222.3241469	211.4220151	1090.510395	1209.67398	1262.229698	1143.599027	218.5440688	1176.503275	2.428509207
H2scaf48-aug11557	529.8302569	2.892994642	0.153979903	9.44e-79	2.22e-76	9e-79	108.8657577	158.8499733	120.1752146	81.66035505	969.6897594	995.5168831	940.4668469	863.417265	117.3878252	942.2726886	3.004861841
